Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1222 052 007 100 078 034
2222 090 036 090 077 030
3333 100 045 020 090 070
4555 011 017 081 032 077
5666 020 012 045 078 034
6111 034 080 055 078 045
7855 060 100 056 078 078
8555 070 010 066 078 056
9555 034 009 077 078 020
1949 045 040 088 078 055
2002 055 050 099 078 080
3002 022 070 100 078 077
4003 089 050 091 078 060
5002 011 011 000 078 010
6002 000 098 089 078 020
1001 052 007 100 078 034
2000 090 036 090 077 030
3000 100 045 020 090 070
4000 011 017 081 032 077
5000 020 012 045 078 034
6001 034 080 055 078 045
7001 060 100 056 078 078
8001 070 010 066 078 056
9001 034 009 077 078 020
1001 045 040 088 078 055
6000 034 080 055 078 045
7000 060 100 056 078 078
8000 070 010 066 078 056
9000 034 009 077 078 020
1000 045 040 088 078 055
